batch value control marker flagged_batch batch_effect cols type
PTLG030 1.9082001447677612 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG030 1.7679499387741089 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG031 1.099500060081482 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG031 1.5095500946044922 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG031 1.6086499691009521 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG031 1.6231999397277832 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG032 1.1094000339508057 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG032 0.849049985408783 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG032 1.9082001447677612 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG032 1.6291499137878418 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG033 3.1825499534606934 IFNa_LPS_Control_1 CD45RA PTLG033 1 #8E000C EMD
PTLG033 1.1225000619888306 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG033 3.296799898147583 Unstim_Control_1 CD45RA PTLG033 1 #8E000C EMD
PTLG033 2.3140499591827393 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG034 2.152899980545044 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG034 1.0966498851776123 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG034 2.234600067138672 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG034 1.4154499769210815 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG021 1.0686501264572144 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG021 1.2267500162124634 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG021 2.2403502464294434 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG021 1.265899896621704 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG025 0.907200038433075 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG025 1.112649917602539 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG025 2.016400098800659 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG025 1.2469000816345215 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG026 1.0686501264572144 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
